Time,No. of collectors,Species,FruitRipe.g,FruitRipe.num,FruitUnripe.g,SeedRipe.g,SeedRipe.num,SeedUnripe.g,SeedUnripe.num,果实附属物.g,果实碎片.num,Leaf.g,Flower.g
2012.05.14,NGS001,00na,,,,,,,,,,3.58,
2012.05.14,NGS002,00na,,,,,,,,,,0.5,
2012.05.14,NGS003,00na,,,,,,,,,,3.43,
2012.05.14,NGS004,00na,,,,,,,,,,0.99,
2012.05.14,NGS005,00na,,,,,,,,,,4.32,
2012.05.14,NGS006,00na,,,,,,,,,,1.09,
2012.05.14,NGS007,00na,,,,,,,,,,2.63,
2012.05.14,NGS008,00na,,,,,,,,,,1.49,
2012.05.14,NGS009,00na,,,,,,,,,,0,
2012.05.14,NGS010,00na,,,,,,,,,,4.55,
2012.05.14,NGS011,00na,,,,,,,,,,3.18,
2012.05.14,NGS012,00na,,,,,,,,,,0.29,
2012.05.14,NGS013,00na,,,,,,,,,,3.31,
2012.05.14,NGS014,00na,,,,,,,,,,0.4,
2012.05.14,NGS015,00na,,,,,,,,,,3.68,
2012.05.14,NGS016,00na,,,,,,,,,,3.86,
2012.05.14,NGS017,00na,,,,,,,,,,6,
2012.05.14,NGS018,00na,,,,,,,,,,2.84,
2012.05.14,NGS019,00na,,,,,,,,,,3.08,
2012.05.14,NGS020,00na,,,,,,,,,,1.14,
2012.05.14,NGS021,00na,,,,,,,,,,4.99,
2012.05.14,NGS022,00na,,,,,,,,,,3.91,
2012.05.14,NGS023,00na,,,,,,,,,,1.28,
2012.05.14,NGS024,00na,,,,,,,,,,1.9,
2012.05.14,NGS025,00na,,,,,,,,,,1.12,
2012.05.14,NGS026,00na,,,,,,,,,,1.91,
2012.05.14,NGS027,00na,,,,,,,,,,1.65,
2012.05.14,NGS028,00na,,,,,,,,,,1.29,
2012.05.14,NGS029,00na,,,,,,,,,,2.24,
2012.05.14,NGS030,00na,,,,,,,,,,2.49,
2012.05.14,NGS031,00na,,,,,,,,,,1.58,
2012.05.14,NGS032,00na,,,,,,,,,,3.47,
2012.05.14,NGS033,00na,,,,,,,,,,2.37,
2012.05.14,NGS034,00na,,,,,,,,,,0.55,
2012.05.14,NGS035,00na,,,,,,,,,,2.26,
2012.05.14,NGS036,00na,,,,,,,,,,3.32,
2012.05.14,NGS037,00na,,,,,,,,,,1.46,
2012.05.14,NGS038,00na,,,,,,,,,,0.44,
2012.05.14,NGS039,00na,,,,,,,,,,4.59,
2012.05.14,NGS040,00na,,,,,,,,,,1.67,
2012.05.14,NGS041,00na,,,,,,,,,,3.27,
2012.05.14,NGS042,00na,,,,,,,,,,2.41,
2012.05.14,NGS043,00na,,,,,,,,,,3.75,
2012.05.14,NGS044,00na,,,,,,,,,,0.63,
2012.05.14,NGS045,00na,,,,,,,,,,2.7,
2012.05.14,NGS046,00na,,,,,,,,,,3.52,
2012.05.14,NGS047,00na,,,,,,,,,,1.41,
